Country,2022 Travelers,2022 Travelers YTD,2023 Travelers YTD,% of 2023 YTD,YOY Change YTD
United States,211,0,2,100%,
Germany,20,3,0,0%,-100%
Puerto Rico,2,0,0,0%,
Belgium,3,0,0,0%,
Uruguay,2,2,0,0%,-100%
Switzerland,7,2,0,0%,-100%
Denmark,4,0,0,0%,
Mexico,3,0,0,0%,
France,42,0,0,0%,
New Zealand,6,0,0,0%,
Spain,17,0,0,0%,
Caribbean Netherlands,5,0,0,0%,
Costa Rica,10,4,0,0%,-100%
Brazil,3,0,0,0%,
Sweden,2,0,0,0%,
Austria,5,0,0,0%,
Singapore,5,0,0,0%,
Peru,2,0,0,0%,
United Kingdom,29,0,0,0%,
Ireland,2,0,0,0%,
Poland,2,0,0,0%,
Canada,9,0,0,0%,
Netherlands,17,0,0,0%,
Others,14,0,0,0%,
